"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Madrid","Madrid","40.4169","-3.7033","Spain","ES","ESP","Madrid","primary","6211000","1724616994"
"Barcelona","Barcelona","41.3828","2.1769","Spain","ES","ESP","Catalonia","admin","4800000","1724594040"
"Valencia","Valencia","39.4700","-0.3764","Spain","ES","ESP","Valencia","admin","1595000","1724981666"
"Porto","Porto","41.1621","-8.6220","Portugal","PT","PRT","Porto","admin","1278210","1620356810"
"Sevilla","Sevilla","37.3900","-5.9900","Spain","ES","ESP","Andalusia","admin","1100000","1724991838"
"Málaga","Malaga","36.7194","-4.4200","Spain","ES","ESP","Andalusia","minor","967250","1724397372"
"Bilbao","Bilbao","43.2569","-2.9236","Spain","ES","ESP","Basque Country","minor","775000","1724331267"
"Zaragoza","Zaragoza","41.6500","-0.8833","Spain","ES","ESP","Aragon","admin","682513","1724907391"
"Murcia","Murcia","37.9861","-1.1303","Spain","ES","ESP","Murcia","admin","672773","1724107739"
"Las Palmas","Las Palmas","28.1258","-15.4353","Spain","ES","ESP","Canary Islands","admin","635000","1724501748"
"Palma","Palma","39.5667","2.6500","Spain","ES","ESP","Balearic Islands","admin","550000","1724728111"
"Lisbon","Lisbon","38.7253","-9.1500","Portugal","PT","PRT","Lisboa","primary","548703","1620619017"
"Santa Cruz","Santa Cruz","28.4667","-16.2500","Spain","ES","ESP","Canary Islands","admin","538000","1724813158"
"Aves","Aves","41.4400","-8.3000","Portugal","PT","PRT","Porto","","425411","1620507201"
"Sintra","Sintra","38.7992","-9.3883","Portugal","PT","PRT","Lisboa","minor","377835","1620848791"
"Alicante","Alicante","38.3453","-0.4831","Spain","ES","ESP","Valencia","minor","349282","1724923163"
"Córdoba","Cordoba","37.8845","-4.7796","Spain","ES","ESP","Andalusia","minor","323763","1724706440"
"Vila Nova de Gaia","Vila Nova de Gaia","41.1333","-8.6167","Portugal","PT","PRT","Porto","minor","302295","1620040225"
"Valladolid","Valladolid","41.6528","-4.7236","Spain","ES","ESP","Castille-Leon","admin","297459","1724133771"
"Vigo","Vigo","42.2314","-8.7124","Spain","ES","ESP","Galicia","","293652","1724045676"
"Gijón","Gijon","43.5333","-5.7000","Spain","ES","ESP","Asturias","","268313","1724170659"
"Vitoria-Gasteiz","Vitoria-Gasteiz","42.8500","-2.6833","Spain","ES","ESP","Basque Country","admin","255886","1724975338"
"A Coruña","A Coruna","43.3650","-8.4100","Spain","ES","ESP","Galicia","minor","247604","1724417375"
"Elche","Elche","38.2669","-0.6983","Spain","ES","ESP","Valencia","","238293","1724611437"
"Granada","Granada","37.1781","-3.6008","Spain","ES","ESP","Andalusia","minor","230595","1724929320"
"Badalona","Badalona","41.4489","2.2461","Spain","ES","ESP","Catalonia","","225957","1724090334"
