time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-10T13:59:50.431Z,36.9912,4.4918,10,4.5,mb,37,83,2.906,0.95,us,us6000nxv3,2024-11-02T16:52:05.040Z,"27 km NE of Arhribs, Algeria",earthquake,3.84,1.885,0.127,18,reviewed,us,us
2024-09-14T18:47:43.886Z,42.8846,7.2336,7.094,4.1,mwr,40,95,3.002,0.79,us,us7000ndu7,2024-11-21T22:58:57.040Z,"62 km SE of Ramatuelle, France",earthquake,5.62,3.657,0.086,13,reviewed,us,us
2024-08-26T04:11:37.277Z,38.0222,-9.5047,6.586,5,mwr,107,28,1.038,0.56,us,us7000n9fh,2024-11-09T21:19:13.040Z,"56 km W of Sines, Portugal",earthquake,5.69,3.418,0.075,17,reviewed,us,us
2024-08-13T22:51:37.616Z,35.4614,-3.6174,10,4.1,mb,33,115,2.326,0.69,us,us6000npvz,2024-10-26T15:48:09.040Z,"37 km NE of Al Hoceïma, Morocco",earthquake,4.91,1.951,0.198,7,reviewed,us,us
2024-05-27T00:40:24.609Z,35.5311,-3.5066,10,4.3,mb,67,71,2.379,0.58,us,us6000n16p,2024-08-06T20:32:45.040Z,"49 km NE of Al Hoceïma, Morocco",earthquake,6.36,1.848,0.078,47,reviewed,us,us
2024-04-20T12:44:11.463Z,35.2614,4.6777,10,4.3,mb,35,78,3.838,0.54,us,us6000mu0s,2024-06-25T21:02:32.040Z,"51 km SSE of M’sila, Algeria",earthquake,5.01,1.887,0.119,20,reviewed,us,us
2024-03-15T20:17:46.665Z,35.4522,-3.5566,8.919,4.5,mww,105,62,2.375,0.55,us,us6000mj5v,2024-05-18T21:23:14.040Z,"41 km ENE of Al Hoceïma, Morocco",earthquake,6.66,3.984,0.089,12,reviewed,us,us
2024-02-14T13:33:40.584Z,35.6066,0.1094,10,4.6,mb,81,48,2.169,0.52,us,us7000lz5x,2024-04-24T14:42:02.040Z,"23 km N of Mascara, Algeria",earthquake,7.42,1.703,0.067,67,reviewed,us,us
2024-02-04T23:04:37.418Z,34.5606,-5.4315,8.37,4.2,mb,21,91,1.779,0.5,us,us7000lxu3,2024-04-13T19:38:00.040Z,"29 km SSE of Ouezzane, Morocco",earthquake,6.05,5.829,0.263,4,reviewed,us,us
2023-11-21T05:52:05.341Z,44.4556,6.8591,6.606,4.1,mb,31,91,0.61,0.73,us,us6000lprc,2024-02-01T15:13:41.040Z,"10 km WSW of Acceglio, Italy",earthquake,2.16,4.973,0.174,9,reviewed,us,us
